address,trapdoor,exchange_permission,exchange_suspension,amount_limit,fee_manipulation,invalid_callback
0x5674d4536fcd7a924696078b15865c4fab9f3597,1,1,0,0,0,0
0xbb7f05aa2dd33425ea0848cda8e4ea54718c6336,1,1,0,0,0,0
0x801427e0b00c5aa46f96550e1e33ad7f00077e19,1,1,0,0,0,0
0x1b49dc534fa67d0c23f6bd0601f8c8142f8306d0,1,1,0,0,0,0
0xf3afd0feac711f754d430de41ec0c7314a397ca1,1,1,0,0,0,0
0x9c6bb630cc303627f95072c44378314afd6d9faf,1,1,0,0,0,0
0xd80aaa052fce83149862c60534f277a52b6a8d58,1,1,0,0,0,0
0xba007ce10ec81bfdea5f095e83a05dacd5599bc1,1,1,0,0,0,0
0xcb1427add2b5be25dfff7043f2de8204a0d37ad4,1,1,0,0,0,0
0x9352d363c9f81dcf9f4e06ddf6c4f73402fb35ea,1,1,0,0,0,0
0xb0edfc78d732f1f44cf01078b1bc3fc49c6ac919,1,1,0,0,0,0
0x76fd1d2ebef1785eff41abd91a98f68b14dd3d24,1,1,0,0,0,0
0xc3a1a9bdc09ce964ca695691beb4b3128923eb5c,1,1,0,0,0,0
0x77320ffd93184e9c8b053c037950d13456a15c9a,1,1,0,0,0,0
0x5f44892bc4430039a935166f4e08137341fb6401,1,1,0,0,0,0
0x6c1af18a949c293ad4bfc0dc455b463498463705,1,1,0,0,0,0
0xf942136ec27d631f4f2ecf0e5a3957296e638c97,1,1,0,0,0,0
0xd1f7c3bb4eb27fbb291cd62468854e6db84933af,1,1,0,0,0,0
0x6fefe0934361bfc60e9ce6dd237a32a3ae246c25,1,1,0,0,0,0
0x5162e7d4390eb8f9671824b80ea83f4f2249410a,1,1,0,0,0,0
0x50bd8901739f70043e7d89dc9d803bd322b3f102,1,1,0,0,0,0
0xc5514fc162dd7b9acc70b98d1bc57a94f12d79cb,1,1,0,0,0,0
0x2b7184f2cba49bf7093297951598aea0f546f0be,1,1,0,0,0,0
0x58aebb8f6e029fc644ba04ca9557f7c057f41d6e,1,1,0,0,0,0
0x8001455d1add0b1c41a6478b306dd1e9bced2302,1,1,0,0,0,0
0x8b40c8ae86d795ac92446f1b909eb06db065f7c3,1,1,0,0,0,0
0xb3bf79ef025bba6f1e413137c7885ee046b30c72,1,1,0,0,0,0
0x1d9d6296cb40b3ad2fc169e85427cabe81eec418,1,1,0,0,0,0
0xaed6dcac4d6630393c5a85f3fe180dc5743d79d1,1,1,0,0,0,0
0x44353837627ee7000be4a7de89d284f6076fbf7b,1,1,0,0,0,0
0x1ee3e86db3eb58cd13c070ae5aa8056f9ad8fffc,1,1,0,0,0,0
0x5f43e76c9fee0de08eb088139eb7f9ac9c89d207,1,1,0,0,0,0
0x68f3a4e312b427339e49210f27361b9da9cdfced,1,1,0,0,0,0
0x0e7a3edeace94903fc7d55f830265299691e2fcb,1,1,0,0,0,0
0x8df36b9bb1e0e1ca7bde0423fc2b180e0a1ac232,1,1,0,0,0,0
0x2502533e0fcb33ddfb0c2517b2480752a71ae878,1,1,0,0,0,0
0xbd36b14c63f483b286c7b49b6eaffb2fe10aabc4,1,1,0,0,0,0
0x9d335bb5836f167ea16a2401214957de3cbbcecb,1,1,0,0,0,0
0x23a4bf5390f0b29e14d3bb2f6a3eaf42c3d980df,1,1,0,0,0,0
0xbfbe715cb4846e453a3353659a2f982185799fe7,1,1,0,0,0,0
0x45dac6c8776e5eb1548d3cdcf0c5f6959e410c3a,1,1,0,0,0,0
0x3b5d785c2f230fb403767ae3c17d982d4b723952,1,1,0,0,0,0
0x1b105b5dd86d6ce25533c17484746438e6c9a327,1,1,0,0,0,0
0x3445acc4a3e6eb6f92f6c0a48214863ebf107e41,1,1,0,0,0,0
0xbadbebfafda5ee33c1464c4167aece6fdbee26f9,1,1,0,0,0,0
0x7abe01d095a2079b9ebeb1bf32a05c11a991b3c3,1,1,0,0,0,0
0x89973fe85cd4e4470984dbf440add9ccde2ab36a,1,1,0,0,0,0
0xb7a9f6abec0a75973e0b845ad04c12a0038bb9bf,1,1,0,0,0,0
0x80af41f6866518761e831af25996d5076ed227bc,1,1,0,0,0,0
0x1eb786d07d1f49b0f4b329cef579933df3acbf3c,1,1,0,0,0,0
0xf51e0ec94819a954d1b206367eaf6bbb7150378a,1,1,0,0,0,0
0xd0577a5eb13fc0804129c6af1598792f79c417fc,1,1,0,0,0,0
0x2ef62a54197e14fbced11e3a5cdfea1cc2dd0da2,1,1,0,0,0,0
0x327d5e8f83a807ddcfe38ca4373e8f825a99a594,1,1,0,0,0,0
0x3413c9f5a28356b9c8f7780f1f75a9560f9a060f,1,1,0,0,0,0
0x21f9ad8d9ac703aa808cd575aa9f9254adc2ae5a,1,1,0,0,0,0
0xece1e7380a23670c9a91f72b3a44b5a3725e98b0,1,1,0,0,0,0
0x76d6b4661b26bd80e9f3e6fef5a0b793169cd325,1,1,0,0,0,0
0xffd851c08e5fb2d67a6e59b6b2e748e9054ce2ac,1,1,0,0,0,0
0x89568c7f8761acefc2931cec481b3d94443b4af8,1,1,0,0,0,0
0x6f2f38ec9575a648421a6b4f182bce5097a361eb,1,1,0,0,0,0
0xb7c06096b7cf4622ae0da4ebc929649463c8692f,1,1,0,0,0,0
0xc5d87f9fac0f678bd1dcdb72d26d1796a209cf3a,1,1,0,0,0,0
0x28edc81ceeb58bce7586833d9cef5b59afddf0b1,1,1,0,0,0,0
0x593e078d0f343359a7ff1b2e290d6db6cfd060d5,1,0,1,0,0,0
0x572a5039375108c6a2af7e896a750b6a8101f7d9,1,1,0,0,0,0
0xe71622ec85a5eb4aa9cd44f2da1abef54a2432a5,1,1,0,0,0,0
