Address,Leak,Limit,Mint
0x02d3aea48b443a0026ed9cbc91b97d7335aba323,0,1,1
0x2773b55e67efaab67d6985311b2d888d3d4470e1,0,1,1
0x36f20b9b964a7d0faeab4f74ba4e445c324a427b,0,1,1
0x68abb13046027b64fdf5a9dde00f783df7e697ec,0,1,1
0x68cdbc25bf061d91537b21926260b213fde14285,0,1,1
0x6e35563be1e059f95bcfb5e1d6d854602a7fa3e1,0,1,1
0x87b9e7b07f294b5e203927bd118d91ff118f24aa,0,1,1
0x8d65fba6de30791e8da76e4e47443543623ebed5,0,1,1
0x8f3a9953c5ca4449d15721cd6e11ebc15a89e569,0,0,1
0x9fcf7acdc11fd904c4b73a009909c7f00efc4844,0,1,1
0xa5d77efbc45d574b689d7f1202cf817e23febb97,0,1,1
0xadc34a12270978e4365b0f9f701c666b1eb2fe20,0,1,1
0xd0faa64b3de3ceca7ddf5d47cc2a13b1f208cb01,1,0,1
0xee7596c357c50f3677b794a5223db265394fb2e4,0,1,1
0xff1560afef58be59b11c72734ad1d89db63e4e71,1,0,1
