Address,num_nodes,num_edges,avg_degree,density,connected_components,avg_clustering
0x292f57c7fcd726ba651e46b620d99cc6afe0ec1c,2,1,1.0,0.5,1,0.0
0x1c5ee1ffebec5f3e1686e8e59d43f96a3c702b7f,14,13,1.8571428571428572,0.07142857142857142,1,0.0
0x25d8f027fd25eecbcd812521fb2f75f175807a91,66,65,1.9696969696969697,0.015151515151515152,1,0.0
0xe7e63e244c52b2230666e263657ba8db2b6b3705,57,56,1.9649122807017543,0.017543859649122806,1,0.0
0x8275ebf521dc217aa79c88132017a5bcef001dd9,253,252,1.992094861660079,0.003952569169960474,1,0.0
0xc709878167ed069aea15fd0bd4e9758ceb4da193,3,2,1.3333333333333333,0.3333333333333333,1,0.0
0xb504035a11e672e12a099f32b1672b9c4a78b22f,5870,5869,1.9996592844974446,0.00017035775127768313,1,0.0
0xd28c8ff18f811e5fcd9b5b07889a343da8fd6502,945,944,1.9978835978835978,0.0010582010582010583,1,0.0
0x28c748535cc0c774d7bb046adba0c9d77e3b4c92,59,58,1.9661016949152543,0.01694915254237288,1,0.0
0xaaf8c293ed36989d1871d2310b2845450d885673,3,2,1.3333333333333333,0.3333333333333333,1,0.0
0x1250b98cbde9f99f4c42dcdacee193221f17eb50,371,370,1.994609164420485,0.0026954177897574125,1,0.0
0x10f6f2b97f3ab29583d9d38babf2994df7220c21,93,93,2.0,0.010869565217391304,1,0.0
0x82902c20c5826984588dcd2dfcc322e05dcc435c,65,65,2.0,0.015625,1,0.0
0x94b7d24552933f50a5a5705c446528806dcea381,5,4,1.6,0.2,1,0.0
0xe1a0ce8b94c6a5e4791401086763d7bd0a6c18f5,2,1,1.0,0.5,1,0.0
0x17e65e6b9b166fb8e7c59432f0db126711246bc0,5,4,1.6,0.2,1,0.0
0x87230146e138d3f296a9a77e497a2a83012e9bc5,27,26,1.9259259259259258,0.037037037037037035,1,0.0
0xe4182e57eeb29fbc2b3469e45c9e385cea8995ab,3,2,1.3333333333333333,0.3333333333333333,1,0.0
0x91383a15c391c142b80045d8b4730c1c37ac0378,1343,1343,2.0,0.0007451564828614009,1,0.0
0xf19308f923582a6f7c465e5ce7a9dc1bec6665b1,3294,4825,2.9295689131754705,0.00044481763030298674,1,0.0
0x9a3fb36bf72a387fcc821a38ee9f50f1a0eb8cbd,122,121,1.9836065573770492,0.00819672131147541,1,0.0
0x0414d8c87b271266a5864329fb4932bbe19c0c49,7003,7002,1.9997144081108096,0.0001427959445951735,1,0.0
0x6609f543d38816116fa5b9a98c918ca947f5455d,3,2,1.3333333333333333,0.3333333333333333,1,0.0
0xb131f4a55907b10d1f0a50d8ab8fa09ec342cd74,7808,7807,1.9997438524590163,0.00012807377049180329,1,0.0
0x186ed770eecea82def7c92dcc077c4ba27acd5bd,741,740,1.9973009446693657,0.001349527665317139,1,0.0
0xb954562066c71b3e6e7b2ac330b03c74c0dcd5ae,4990,4991,2.0004008016032064,0.00020048113866538448,1,0.0
0xde9e52f1838951e4d2bb6c59723b003c353979b6,4,3,1.5,0.25,1,0.0
0x6b5e9e55921e5e412cf1002599c05d4428cf50c5,30,29,1.9333333333333333,0.03333333333333333,1,0.0
0xf0b692ace03ffb689628e68d4919f91723d1c5a2,966,965,1.9979296066252588,0.0010351966873706005,1,0.0
0xd00736f864ecd5bef5996c735f98769ae0d10c7c,41,40,1.951219512195122,0.024390243902439025,1,0.0
0xa7cd93ed3133d82781cc17460fe1500b69a1b514,26,25,1.9230769230769231,0.038461538461538464,1,0.0
0x108d0f1fc10ed324f8cc65d0a91cad11cd4994a4,3,2,1.3333333333333333,0.3333333333333333,1,0.0
0xd217dc0cab1c952a7ce6f4d7ca4549cde1f37bb0,24,23,1.9166666666666667,0.041666666666666664,1,0.0
0x198376f921570e3cc547fd5c16e482cded8b4d1d,72,71,1.9722222222222223,0.013888888888888888,1,0.0
0x9372b371196751dd2f603729ae8d8014bbeb07f6,5939,5944,2.001683785149015,0.00016854865149452803,1,0.0
0x797885c0a6cfffcbc4d2e3c1ca0b4f07112db6a3,180,180,2.0,0.00558659217877095,1,0.0
0x16dfb898cf7029303c2376031392cb9bac450f94,2,1,1.0,0.5,1,0.0
